Accuracy,AUC,F1 Score,Scenario_Defense
0.66,0.6211640211640211,0.7649769585253456,BackdoorAttack_LOF
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.72,0.7247619047619046,0.8141592920353983,BackdoorAttack_LOF
0.66,0.6211640211640211,0.7649769585253456,BackdoorAttack_LOF
0.72,0.7202116402116403,0.8141592920353983,BackdoorAttack_Autoencoder
0.66,0.6423280423280423,0.7582938388625592,BackdoorAttack_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.72,0.7202116402116403,0.8141592920353983,BackdoorAttack_Autoencoder
0.66,0.6423280423280423,0.7582938388625592,BackdoorAttack_Autoencoder
0.7066666666666667,0.7133333333333333,0.8053097345132744,BackdoorAttack_IsolationForest_Autoencoder
0.6866666666666666,0.612910052910053,0.7873303167420814,BackdoorAttack_IsolationForest_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7066666666666667,0.7133333333333333,0.8053097345132744,BackdoorAttack_IsolationForest_Autoencoder
0.6866666666666666,0.612910052910053,0.7873303167420814,BackdoorAttack_IsolationForest_Autoencoder
0.7066666666666667,0.7103703703703703,0.8053097345132744,InjectionAttack_IsolationForest
0.6733333333333333,0.6588359788359789,0.7822222222222223,InjectionAttack_IsolationForest
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7066666666666667,0.7103703703703703,0.8053097345132744,InjectionAttack_IsolationForest
0.6733333333333333,0.6588359788359789,0.7822222222222223,InjectionAttack_IsolationForest
0.7066666666666667,0.7296296296296296,0.8018018018018018,InjectionAttack_LOF
0.6733333333333333,0.6615873015873015,0.7782805429864253,InjectionAttack_LOF
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7066666666666667,0.7296296296296296,0.8018018018018018,InjectionAttack_LOF
0.6733333333333333,0.6615873015873015,0.7782805429864253,InjectionAttack_LOF
0.7066666666666667,0.7243386243386244,0.8018018018018018,InjectionAttack_Autoencoder
0.6466666666666666,0.6503703703703704,0.7557603686635944,InjectionAttack_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7066666666666667,0.7243386243386244,0.8018018018018018,InjectionAttack_Autoencoder
0.6466666666666666,0.6503703703703704,0.7557603686635944,InjectionAttack_Autoencoder
0.72,0.716931216931217,0.8125,InjectionAttack_IsolationForest_Autoencoder
0.66,0.6103703703703702,0.7649769585253456,InjectionAttack_IsolationForest_Autoencoder
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.72,0.716931216931217,0.8125,InjectionAttack_IsolationForest_Autoencoder
0.66,0.6103703703703702,0.7649769585253456,InjectionAttack_IsolationForest_Autoencoder
